,usd,usd_market_cap,usd_24h_vol,usd_24h_change,eur,eur_market_cap,eur_24h_vol,eur_24h_change
olympus,383.16,2177138635.1597724,15386013.544288658,-4.544568096660592,338.13,1922502677.5301218,13577495.354252348,-4.932076294305681
litecoin,150.01,10380772070.951904,798629457.5213659,-2.254884223342205,132.38,9166377450.231592,704756155.1959327,-2.65597219149434
ufo-gaming,3.142e-05,817079082.8644943,32876664.688415624,26.347574508187844,2.773e-05,721354182.9115044,29012242.890945185,25.829119017723762
monero,186.59,3368081743.128549,153562841.42980394,0.30811176714256866,164.66,2974066700.408654,135512604.35962048,-0.09909623375398113
bitcoin,47896.0,904803062853.3839,25048728698.98161,-2.0213283489778444,42266.0,798954676545.4816,22104425981.51724,-2.4190798200265777
ethereum,3977.98,472327264236.3297,23224084976.14759,-1.0932001409490446,3510.4,417072059229.6426,20494256355.796276,-1.499054971409786
binancecoin,532.12,89432265275.86671,1390035486.9709177,-0.32578019454273527,469.58,78970031722.56938,1226646545.7258966,-0.7304148653870012
tether,1.0,77415608419.4087,58575476367.43749,0.04817090160861563,0.883254,68359143468.46414,51690339148.77985,-0.3579818506311792
avalanche-2,102.95,24998369894.141228,1754800389.8085568,-1.5665786034135012,90.85,22069685869.19311,1548535887.58929,-1.9704909694946815
joe,2.37,339265826.8901416,36297584.23681029,-4.999444096766325,2.09,299519138.940827,32031057.29286293,-5.385105692542479
stellar,0.260726,6422687028.647494,378914241.1481545,-3.8987060543453946,0.23008,5671328986.601165,334375524.5008773,-4.293048752895388
